web_name,team,position,value,projection,now_cost,total_rank,form
Cresswell,West Ham,Defender,22.931034482758623,122.76875870759089,5.8,1.0,6.8
Shaw,Man Utd,Defender,19.038461538461537,96.8050445621584,5.2,2.0,7.2
Wan-Bissaka,Man Utd,Defender,20.53571428571429,114.2134311008112,5.6,3.0,4.4
Targett,Aston Villa,Defender,22.4,105.64248782170148,5.0,4.0,4.0
Dias,Man City,Defender,19.836065573770494,121.93766497939856,6.1,5.0,3.3
Dallas,Leeds,Defender,22.8,99.42372152687335,5.0,6.0,3.8
Mings,Aston Villa,Defender,19.814814814814813,106.76978617631745,5.4,7.0,4.6
Maguire,Man Utd,Defender,19.09090909090909,104.48292169118719,5.5,8.0,5.0
Stones,Man City,Defender,20.37735849056604,106.16081991803115,5.3,9.0,3.3
Aina,Fulham,Defender,20.0,78.15105853661257,4.5,10.0,6.2
Konsa,Aston Villa,Defender,21.086956521739133,89.36381056761118,4.6,11.0,4.4
Adarabioyo,Fulham,Defender,19.77777777777778,86.66291585327956,4.5,12.0,5.3
Azpilicueta,Chelsea,Defender,15.964912280701753,94.8086313773283,5.7,13.0,6.2
Keane,Everton,Defender,19.019607843137255,95.38398735691234,5.1,14.0,4.3
Cancelo,Man City,Defender,17.741935483870968,113.81706592391969,6.2,15.0,2.3
Andersen,Fulham,Defender,17.555555555555557,76.83233204365872,4.5,16.0,5.8
Robertson,Liverpool,Defender,14.86111111111111,121.613967536641,7.2,17.0,2.6
Coady,Wolves,Defender,17.291666666666668,83.29138884165401,4.8,18.0,5.2
Coufal,West Ham,Defender,19.347826086956523,84.7410430166773,4.6,19.0,3.8
Lowton,Burnley,Defender,18.0,73.74816240335231,4.5,20.0,4.5
James,Chelsea,Defender,17.2,84.136491474345,5.0,21.0,3.8
Chilwell,Chelsea,Defender,16.896551724137932,99.06747546907165,5.8,22.0,2.2
Tarkowski,Burnley,Defender,15.471698113207548,87.80166976802658,5.3,23.0,3.5
Dunk,Brighton,Defender,17.346938775510203,83.40496611632938,4.9,24.0,2.8
Justin,Leicester,Defender,20.612244897959183,91.79117372689807,4.9,25.0,0.0
Mee,Burnley,Defender,16.8,84.55321034947873,5.0,26.0,2.5
Bednarek,Southampton,Defender,17.755102040816325,86.46339364600935,4.9,27.0,1.8
Lindelöf,Man Utd,Defender,16.25,78.43690646151957,4.8,28.0,3.2
Bartley,West Brom,Defender,14.318181818181817,60.791433337203294,4.4,29.0,6.0
Bellerín,Arsenal,Defender,16.27450980392157,83.07935653101566,5.1,30.0,2.5
Saïss,Wolves,Defender,16.122448979591837,77.40801031327386,4.9,31.0,3.0
Dawson,West Ham,Defender,14.666666666666666,60.09830534815957,4.5,32.0,5.5
Alexander-Arnold,Liverpool,Defender,11.486486486486486,100.07315326593739,7.4,33.0,2.8
Semedo,Wolves,Defender,14.038461538461538,74.13754413900614,5.2,34.0,4.0
Vestergaard,Southampton,Defender,16.595744680851062,77.35443349967163,4.7,35.0,2.3
Zouma,Chelsea,Defender,15.925925925925926,87.09726309644518,5.4,36.0,1.6
Cash,Aston Villa,Defender,17.0,85.1441641164441,5.0,37.0,1.2
Veltman,Brighton,Defender,14.651162790697676,60.32141517480316,4.3,38.0,4.5
Digne,Everton,Defender,11.935483870967742,75.7518937218302,6.2,39.0,4.3
Walker-Peters,Southampton,Defender,16.595744680851062,78.49232404870985,4.7,40.0,1.3
White,Brighton,Defender,16.59090909090909,64.23208635769134,4.4,41.0,2.5
Ogbonna,West Ham,Defender,17.083333333333336,80.94606595211003,4.8,42.0,0.0
Furlong,West Brom,Defender,13.555555555555555,59.617859266983764,4.5,43.0,4.0
Bertrand,Southampton,Defender,14.4,71.73630398610933,5.0,44.0,2.3
Alderweireld,Spurs,Defender,12.777777777777777,74.9343922626359,5.4,45.0,2.8
Holding,Arsenal,Defender,16.818181818181817,68.47158165654339,4.4,46.0,0.8
Ayling,Leeds,Defender,14.545454545454545,65.54032461846936,4.4,47.0,2.2
Rüdiger,Chelsea,Defender,12.608695652173914,55.475585401487365,4.6,48.0,4.2
Walker,Man City,Defender,12.459016393442624,84.98480395551952,6.1,49.0,1.1
Taylor,Burnley,Defender,14.545454545454545,62.243452117718014,4.4,50.0,2.0
Townsend,West Brom,Defender,11.59090909090909,46.19870630794768,4.4,51.0,5.0
Tierney,Arsenal,Defender,13.461538461538462,70.84254592522585,5.2,52.0,1.2
Thiago Silva,Chelsea,Defender,13.75,79.23721743960074,5.6,53.0,0.0
Evans,Leicester,Defender,12.909090909090908,75.4168338476749,5.5,54.0,0.8
Alioski,Leeds,Defender,15.58139534883721,63.76978574898149,4.3,55.0,0.6
Reguilón,Spurs,Defender,11.818181818181818,64.20318084356478,5.5,56.0,2.4
Holgate,Everton,Defender,11.875,55.21339547953063,4.8,57.0,3.2
Godfrey,Everton,Defender,11.0,56.37353584406826,5.0,58.0,3.2
Maitland-Niles,West Brom,Defender,10.434782608695652,45.15412198185614,4.6,59.0,4.2
Cooper,Leeds,Defender,12.093023255813954,53.583916534614744,4.3,60.0,2.2
Castagne,Leicester,Defender,10.701754385964913,68.2961826086755,5.7,61.0,1.4
Zinchenko,Man City,Defender,10.181818181818182,58.70556692661708,5.5,62.0,2.6
Ward,Crystal Palace,Defender,10.930232558139535,44.74995204017129,4.3,63.0,3.4
Webster,Brighton,Defender,14.186046511627907,60.457429058011215,4.3,64.0,0.0
Aurier,Spurs,Defender,11.73076923076923,60.68949468051936,5.2,65.0,1.2
Mina,Everton,Defender,11.272727272727273,71.42004471548636,5.5,66.0,0.2
Dier,Spurs,Defender,12.291666666666668,63.4730179894627,4.8,67.0,0.2
Christensen,Chelsea,Defender,7.234042553191489,34.011821549926786,4.7,68.0,5.8
Struijk,Leeds,Defender,11.0,41.44445674851013,4.0,69.0,3.0
Tete,Fulham,Defender,10.0,41.15653077795869,4.3,70.0,3.3
van Aanholt,Crystal Palace,Defender,8.333333333333332,47.9737486391508,5.4,71.0,3.0
Kilman,Wolves,Defender,13.5,47.98050344265394,4.0,72.0,0.2
Lascelles,Newcastle,Defender,8.095238095238095,33.104438703418694,4.2,73.0,4.5
Robinson,Fulham,Defender,11.136363636363635,44.76791447335787,4.4,74.0,1.7
Baldock,Sheffield Utd,Defender,8.775510204081632,45.14026586478976,4.9,75.0,2.8
Ampadu,Sheffield Utd,Defender,10.0,43.053507142140326,4.3,76.0,2.2
Boly,Wolves,Defender,10.74074074074074,59.140689836952106,5.4,77.0,0.0
Doherty,Spurs,Defender,7.857142857142858,47.94624636138186,5.6,78.0,2.6
Davies,Spurs,Defender,11.08695652173913,44.03603692601563,4.6,79.0,1.2
Clark,Newcastle,Defender,8.666666666666666,38.60379526137503,4.5,80.0,2.8
Sánchez,Spurs,Defender,6.730769230769231,37.756028464578534,5.2,81.0,3.8
David Luiz,Arsenal,Defender,6.851851851851851,44.1197567463512,5.4,82.0,3.0
Fofana,Leicester,Defender,10.2,52.05456486414654,5.0,83.0,0.4
Gabriel,Arsenal,Defender,10.408163265306122,51.37575607078108,4.9,84.0,0.2
Alonso,Chelsea,Defender,6.842105263157895,38.76403674945046,5.7,85.0,3.2
Diop,West Ham,Defender,5.813953488372094,23.96498879851804,4.3,86.0,5.2
Burn,Brighton,Defender,9.047619047619047,36.38475705386343,4.2,87.0,2.2
Lewis,Newcastle,Defender,10.238095238095237,41.144750191383714,4.2,88.0,1.0
Cahill,Crystal Palace,Defender,7.111111111111111,32.7638735156582,4.5,89.0,3.4
Pieters,Burnley,Defender,10.0,41.31733766528957,4.3,90.0,1.0
O'Shea,West Brom,Defender,6.904761904761904,28.03113151331313,4.2,91.0,3.0
El Mohamady,Aston Villa,Defender,6.511627906976744,27.5812311830944,4.3,92.0,3.2
Fernandinho,Man City,Defender,7.037037037037036,39.0820605176002,5.4,93.0,1.6
Laporte,Man City,Defender,6.166666666666667,40.994406311975695,6.0,94.0,1.6
Balbuena,West Ham,Defender,9.523809523809524,38.41415999570981,4.2,95.0,0.0
Ajayi,West Brom,Defender,8.541666666666668,41.952737030252685,4.8,96.0,0.0
Söyüncü,Leicester,Defender,5.849056603773585,37.375488513262006,5.3,97.0,1.8
Mitchell,Crystal Palace,Defender,9.210526315789474,33.08072466812734,3.8,98.0,0.4
Basham,Sheffield Utd,Defender,8.260869565217392,38.349957919492724,4.6,99.0,0.2
Matip,Liverpool,Defender,7.777777777777778,42.59048305207967,5.4,100.0,0.0
Stevens,Sheffield Utd,Defender,5.8,31.091963556796685,5.0,101.0,2.2
Krafth,Newcastle,Defender,5.0,20.340846682778867,4.2,102.0,3.5
Masuaku,West Ham,Defender,8.604651162790699,35.40821948265912,4.3,103.0,0.0
Coleman,Everton,Defender,6.458333333333334,32.71872699338483,4.8,104.0,1.3
Amartey,Leicester,Defender,5.128205128205129,16.69600359955013,3.9,105.0,3.2
Dann,Crystal Palace,Defender,7.674418604651163,32.598331180480685,4.3,106.0,0.2
Egan,Sheffield Utd,Defender,6.808510638297872,35.50669227674744,4.7,107.0,0.2
Ait Nouri,Wolves,Defender,6.8,33.4608545137452,5.0,108.0,0.4
