web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Dallas,Leeds,Defender,4.6,30.370370370370367,5.4,27.523259492100735,148.625601257344,12.726840771435102,1.0
Alexander-Arnold,Liverpool,Defender,6.4,19.35064935064935,7.7,20.986390410367747,161.59520615983166,11.871550822316143,2.0
Cancelo,Man City,Defender,4.5,24.310344827586206,5.8,23.813156302305565,138.11630655337228,10.706950252528108,3.0
Wan-Bissaka,Man Utd,Defender,3.6,24.912280701754383,5.7,23.706561895164675,135.12740280243867,10.120096938169796,4.0
Digne,Everton,Defender,5.8,18.064516129032256,6.2,21.724257058677907,134.69039376380303,9.895581615648755,5.0
Dunk,Brighton,Defender,3.8,26.875,4.8,21.976831171299462,105.48878962223742,9.320366713854645,6.0
Evans,Leicester,Defender,6.0,19.464285714285715,5.6,19.87751449996781,111.31408119981973,9.256890894312004,7.0
Robertson,Liverpool,Defender,2.8,19.43661971830986,7.1,21.793208359890297,154.7317793552211,9.20694544230659,8.0
Chilwell,Chelsea,Defender,4.0,21.35593220338983,5.9,21.521841147248466,126.97886276876596,9.141704006184893,9.0
Cresswell,West Ham,Defender,1.5,25.357142857142858,5.6,24.511388190764936,137.26377386828364,8.951235895818487,10.0
Coufal,West Ham,Defender,3.2,24.166666666666668,4.8,23.306005260529314,111.86882525054071,8.577783076159546,11.0
Targett,Aston Villa,Defender,2.2,26.2,5.0,22.746999318065296,113.73499659032647,8.499276732825388,12.0
Godfrey,Everton,Defender,6.0,18.43137254901961,5.1,19.15308523262785,97.68073468640202,8.36332013352727,13.0
Keane,Everton,Defender,2.8,24.0,5.0,21.98267799939442,109.91338999697209,8.18289518855827,14.0
Tarkowski,Burnley,Defender,4.2,20.0,5.3,20.40457513766962,108.144248229649,8.055443347990222,15.0
Shaw,Man Utd,Defender,2.4,22.363636363636363,5.5,21.958508710069356,120.77179790538146,8.041120521461677,16.0
James,Chelsea,Defender,3.6,21.372549019607845,5.1,21.37161141660627,108.99521822469197,8.032296435147558,17.0
Konsa,Aston Villa,Defender,2.2,24.46808510638298,4.7,23.791592889988546,111.82048658294617,7.992283489879057,18.0
Dias,Man City,Defender,0.8,22.666666666666668,6.0,23.158972680129022,138.95383608077412,7.925410201591375,19.0
Alioski,Leeds,Defender,4.4,23.72093023255814,4.3,18.646977268801443,80.1820022558462,7.757757562483169,20.0
Mings,Aston Villa,Defender,1.5,22.962962962962962,5.4,22.700840683993658,122.58453969356576,7.680892532331755,21.0
Maguire,Man Utd,Defender,1.6,22.142857142857146,5.6,22.36699185155814,125.25515436872557,7.6756873640622265,22.0
Azpilicueta,Chelsea,Defender,3.0,19.655172413793103,5.8,20.244284290894985,117.41684888719091,7.624581197598875,23.0
Lowton,Burnley,Defender,3.2,22.727272727272727,4.4,21.844579347833555,96.11614913046765,7.486183310658113,24.0
Zouma,Chelsea,Defender,2.6,20.18867924528302,5.3,21.11427077002082,111.90563508111035,7.229739327483541,25.0
White,Brighton,Defender,2.4,22.666666666666668,4.5,22.31930260472709,100.4368617212719,7.151561010680141,26.0
Mee,Burnley,Defender,2.6,21.48936170212766,4.7,21.528635445229728,101.18458659257972,7.035039953321373,27.0
Castagne,Leicester,Defender,4.8,16.03448275862069,5.8,16.41624918272186,95.21424525978678,6.883517162899047,28.0
Holding,Arsenal,Defender,2.6,22.325581395348838,4.3,21.720993131509758,93.40027046549196,6.867665353302252,29.0
Semedo,Wolves,Defender,3.0,19.23076923076923,5.2,19.839996883589404,103.1679837946649,6.848175758667006,30.0
Coady,Wolves,Defender,2.2,21.020408163265305,4.9,21.364618645160228,104.68663136128512,6.825768945914895,31.0
Ayling,Leeds,Defender,3.0,20.68181818181818,4.4,20.725178576782774,91.19078573784421,6.630176025021669,32.0
Lindelöf,Man Utd,Defender,2.0,20.833333333333336,4.8,21.160316095618626,101.5695172589694,6.502130182327676,33.0
Stones,Man City,Defender,-0.5,23.725490196078432,5.1,22.600329617609738,115.26168104980965,6.206284510691792,34.0
Aina,Fulham,Defender,0.8,23.18181818181818,4.4,22.392817823211654,98.52839842213129,6.136003640677873,35.0
Veltman,Brighton,Defender,2.8,22.325581395348838,4.3,17.349033211152562,74.60084280795601,6.109060260370025,36.0
