web_name,team,position,value,projection,now_cost,total_rank,form
Kane,Spurs,Forward,16.106194690265486,195.2723281263493,11.3,1.0,6.2
Bamford,Leeds,Forward,21.176470588235293,139.3445242921169,6.8,2.0,2.8
Vardy,Leicester,Forward,13.137254901960786,183.680114250082,10.2,3.0,3.4
Calvert-Lewin,Everton,Forward,16.883116883116884,133.8703412957436,7.7,4.0,1.7
Watkins,Aston Villa,Forward,17.12121212121212,116.69537760568596,6.6,5.0,2.6
Richarlison,Everton,Forward,11.5,95.11054980282022,8.0,6.0,5.7
Adams,Southampton,Forward,17.24137931034483,75.40449973793639,5.8,7.0,3.0
Wilson,Newcastle,Forward,17.846153846153847,114.53790519934478,6.5,8.0,0.0
Firmino,Liverpool,Forward,11.08695652173913,124.29065058367395,9.2,9.0,2.8
Ings,Southampton,Forward,11.309523809523808,117.56105816258689,8.4,10.0,2.3
Maupay,Brighton,Forward,14.262295081967213,80.70185292311486,6.1,11.0,2.8
Werner,Chelsea,Forward,10.869565217391305,104.7750119210303,9.2,12.0,2.6
Antonio,West Ham,Forward,12.121212121212121,69.80867348553629,6.6,13.0,3.8
Lacazette,Arsenal,Forward,11.11111111111111,91.02011066195001,8.1,14.0,2.5
Jesus,Man City,Forward,8.913043478260871,91.2364357393204,9.2,15.0,3.4
Benteke,Crystal Palace,Forward,11.272727272727273,58.88088530127929,5.5,16.0,4.2
Wood,Burnley,Forward,12.096774193548386,75.77574426089654,6.2,17.0,2.0
McGoldrick,Sheffield Utd,Forward,13.461538461538462,66.7732122923876,5.2,18.0,1.8
Decordova-Reid,Fulham,Forward,12.830188679245284,68.28459785460957,5.3,19.0,1.5
Martial,Man Utd,Forward,8.720930232558139,87.55450059145065,8.6,20.0,2.0
Ayew,Crystal Palace,Forward,10.178571428571429,56.956906777137114,5.6,21.0,2.4
Rodriguez,Burnley,Forward,7.931034482758621,46.46680520304568,5.8,22.0,3.7
Iheanacho,Leicester,Forward,6.7857142857142865,37.70950878499623,5.6,23.0,4.0
Abraham,Chelsea,Forward,9.43661971830986,70.0769879007084,7.1,24.0,0.4
Barnes,Burnley,Forward,8.0,50.606997581189816,6.0,25.0,1.8
Cavani,Man Utd,Forward,7.594936708860759,66.80971406659353,7.9,26.0,0.8
Rodrigo,Leeds,Forward,9.824561403508772,56.240155945124,5.7,27.0,0.2
Giroud,Chelsea,Forward,6.567164179104477,45.0955048648075,6.7,28.0,2.2
Callum Robinson,West Brom,Forward,9.81132075471698,52.639646082854,5.3,29.0,0.0
Joelinton,Newcastle,Forward,7.719298245614035,45.988918618908116,5.7,30.0,1.2
Mitrović,Fulham,Forward,8.727272727272727,45.632119363175974,5.5,31.0,0.3
Maja,Fulham,Forward,4.363636363636363,24.079180417088814,5.5,32.0,3.8
Vydra,Burnley,Forward,6.25,29.650278904064994,4.8,33.0,2.2
McBurnie,Sheffield Utd,Forward,6.7857142857142865,38.454587654484186,5.6,34.0,1.2
Sharp,Sheffield Utd,Forward,6.7272727272727275,36.86610526262547,5.5,35.0,1.2
Fabio Silva,Wolves,Forward,7.115384615384615,36.136127134308154,5.2,36.0,1.0
Welbeck,Brighton,Forward,7.090909090909091,38.04967387805052,5.5,37.0,0.5
Diagne,West Brom,Forward,4.0,26.231898954161238,6.0,38.0,2.6
Connolly,Brighton,Forward,6.9230769230769225,34.1883557709992,5.2,39.0,0.5
Haller,West Ham,Forward,6.721311475409837,41.59758958429756,6.1,40.0,0.0
Grant,West Brom,Forward,6.491228070175438,38.324797480074125,5.7,41.0,0.2
Jiménez,Wolves,Forward,5.3086419753086425,50.48884273169789,8.1,42.0,0.0
Batshuayi,Crystal Palace,Forward,5.964912280701754,35.204282316610666,5.7,43.0,0.4
Brewster,Sheffield Utd,Forward,5.909090909090908,24.920991358610618,4.4,44.0,0.6
Carroll,Newcastle,Forward,5.294117647058824,26.533250299979805,5.1,45.0,0.5
Nketiah,Arsenal,Forward,5.0,26.94020055792249,5.4,46.0,0.0
Willian José,Wolves,Forward,2.608695652173913,20.215718206018064,6.9,47.0,1.6
Mateta,Crystal Palace,Forward,2.1052631578947367,12.290288748396932,5.7,48.0,2.0
Gayle,Newcastle,Forward,3.0508474576271185,17.84217672793342,5.9,49.0,1.0
Robson-Kanu,West Brom,Forward,2.1153846153846154,11.571362581860665,5.2,50.0,0.6
N'Lundulu,Southampton,Forward,2.4444444444444446,9.917591830345007,4.5,51.0,0.3
Long,Southampton,Forward,2.3529411764705883,11.504026191601671,5.1,52.0,0.0
Origi,Liverpool,Forward,1.9607843137254903,11.14554949094718,5.1,53.0,0.2
King,Everton,Forward,1.3207547169811322,6.772564704159249,5.3,54.0,0.8
Agüero,Man City,Forward,0.8737864077669902,12.041023164387452,10.3,55.0,0.4
Davis,Aston Villa,Forward,1.627906976744186,5.431195044788864,4.3,56.0,0.4
Mousset,Sheffield Utd,Forward,1.5517241379310345,8.72466801452587,5.8,57.0,0.2
Carlos Vinicius,Spurs,Forward,1.0144927536231882,7.912263508801678,6.9,58.0,0.0
Austin,West Brom,Forward,0.9803921568627452,5.34065813163382,5.1,59.0,0.0
Tosun,Everton,Forward,0.6666666666666666,5.0437915269487155,6.0,60.0,0.0
Mumbongo,Burnley,Forward,0.4444444444444444,1.9483193805044503,4.5,61.0,0.2
Zeqiri,Brighton,Forward,0.6,3.1388571764153124,5.0,62.0,0.0
Huggins,Leeds,Forward,0.2222222222222222,1.0279253086458036,4.5,63.0,0.2
Richardson,Burnley,Forward,0.2222222222222222,0.9999576365663294,4.5,64.0,0.2
Cutrone,Wolves,Forward,0.3389830508474576,2.8650238263511514,5.9,65.0,0.0
Kean,Everton,Forward,0.3508771929824561,2.1821347987429074,5.7,66.0,0.0
Delap,Man City,Forward,0.23255813953488372,0.9823033137084021,4.3,67.0,0.0
Hackford,Sheffield Utd,Forward,0.22727272727272727,0.9814424397778414,4.4,68.0,0.0
Scarlett,Spurs,Forward,0.2222222222222222,0.9993333333333307,4.5,69.0,0.0
Obafemi,Southampton,Forward,0.2173913043478261,1.0171903673046498,4.6,70.0,0.0
Slimani,Leicester,Forward,0.2040816326530612,1.06200750537707,4.9,71.0,0.0
Ighalo,Man Utd,Forward,0.1639344262295082,1.335877772032428,6.1,72.0,0.0
Campana,Wolves,Forward,0.0,0.0,4.8,81.0,0.0
Bonatini,Wolves,Forward,0.0,0.0,4.8,81.0,0.0
Odubeko,West Ham,Forward,0.0,0.0,4.5,81.0,0.0
Ajeti,West Ham,Forward,0.0,0.0,5.5,81.0,0.0
Hugill,West Ham,Forward,0.0,0.0,5.5,81.0,0.0
Thompson,Burnley,Forward,0.0,0.0,4.5,81.0,0.0
Samatta,Aston Villa,Forward,0.0,0.0,5.9,81.0,0.0
Simms,Everton,Forward,0.0,0.0,4.5,81.0,0.0
Zohore,West Brom,Forward,0.0,0.0,4.8,81.0,0.0
Vassilev,Aston Villa,Forward,0.0,0.0,4.3,81.0,0.0
Wickham,Crystal Palace,Forward,0.0,0.0,4.4,81.0,0.0
Murray,Brighton,Forward,0.0,0.0,4.8,81.0,0.0
Wesley,Aston Villa,Forward,0.0,0.0,6.0,81.0,0.0
Andone,Brighton,Forward,0.0,0.0,4.8,81.0,0.0
Gelhardt,Leeds,Forward,0.0,0.0,4.5,81.0,0.0
Muto,Newcastle,Forward,0.0,0.0,4.8,81.0,0.0
Diaby,West Brom,Forward,0.0,0.0,4.5,81.0,0.0
