web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Kane,Spurs,Forward,3.0,19.491525423728813,11.8,20.19203851674422,238.2660544975818,10.979313056605303,1.0
Vardy,Leicester,Forward,4.2,16.862745098039216,10.2,21.763708722917215,221.98982897375558,10.340901906608982,2.0
Bamford,Leeds,Forward,2.8,27.076923076923077,6.5,25.308060429268235,164.50239279024353,10.326824150224736,3.0
Watkins,Aston Villa,Forward,3.7,24.53125,6.4,24.032817191010974,153.81003002247024,9.744262226771038,4.0
Calvert-Lewin,Everton,Forward,4.6,21.18421052631579,7.6,21.697432893208266,164.90048998838282,9.716865767818561,5.0
Wood,Burnley,Forward,7.2,20.615384615384617,6.5,19.703754758857563,128.07440593257417,9.686112369257758,6.0
Adams,Southampton,Forward,5.2,23.859649122807017,5.7,22.20138320628348,126.54788427581585,9.418079989451677,7.0
Wilson,Newcastle,Forward,4.0,20.615384615384617,6.5,19.808525825298503,128.75541786444026,7.9428344428792546,8.0
Firmino,Liverpool,Forward,4.4,14.222222222222221,9.0,17.15892448803594,154.43032039232347,7.321747049445035,9.0
Ings,Southampton,Forward,4.0,15.238095238095237,8.4,17.101260481639613,143.65058804577276,6.9961531532481125,10.0
Iheanacho,Leicester,Forward,6.4,16.451612903225804,6.2,14.832432890743405,91.96108392260912,6.815438031946983,11.0
Benteke,Crystal Palace,Forward,5.2,18.181818181818183,5.5,17.523690517155842,96.38029784435713,6.785077043705664,12.0
Richarlison,Everton,Forward,2.6,14.487179487179487,7.8,20.111968785325075,156.87335652553557,6.487234302261525,13.0
Antonio,West Ham,Forward,4.2,16.46153846153846,6.5,15.802798889525787,102.71819278191762,5.985842447414161,14.0
Werner,Chelsea,Forward,3.2,13.260869565217392,9.2,15.114731047450274,139.0555256365425,5.8477179366439636,15.0
Welbeck,Brighton,Forward,5.4,16.0,5.5,15.219419565309893,83.70680760920442,5.845290760931672,16.0
