web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Martínez,Aston Villa,Goalkeeper,3.2,33.33333333333333,5.4,29.862964374553286,161.26000762258775,11.152910550969562,1.0
Meslier,Leeds,Goalkeeper,4.6,32.76595744680851,4.7,28.95609692237452,136.09365553516025,10.988450285158308,2.0
Lloris,Spurs,Goalkeeper,4.8,25.892857142857146,5.6,25.831865479520435,144.65844668531443,10.144234300441038,3.0
Mendy,Chelsea,Goalkeeper,4.6,26.538461538461537,5.2,25.50148550742889,132.60772463863023,9.68944341709366,4.0
Johnstone,West Brom,Goalkeeper,3.8,29.347826086956523,4.6,28.249462476764567,129.94752739311699,9.613518214084687,5.0
Alisson,Liverpool,Goalkeeper,5.4,21.1864406779661,5.9,22.23414712459398,131.1814680351045,9.135543240480324,6.0
Ramsdale,Sheffield Utd,Goalkeeper,5.4,24.1304347826087,4.6,24.71596127301415,113.69342185586507,9.035066451069488,7.0
Pope,Burnley,Goalkeeper,2.8,26.181818181818183,5.5,25.785914350648767,141.8225289285682,8.83287786791949,8.0
Ederson,Man City,Goalkeeper,2.8,23.934426229508198,6.1,24.537871246719305,149.68101460498775,8.704515210999531,9.0
Patrício,Wolves,Goalkeeper,3.2,24.71698113207547,5.3,25.28691900725531,134.02067073845313,8.518547002827724,10.0
Pickford,Everton,Goalkeeper,5.0,21.875,4.8,22.1736724057091,106.43362754740369,8.08871288088423,11.0
Schmeichel,Leicester,Goalkeeper,2.4,23.703703703703702,5.4,24.18531712266808,130.60071246240764,7.696780884777205,12.0
Fabianski,West Ham,Goalkeeper,2.2,24.8,5.0,25.42252706009206,127.11263530046031,7.646324132249091,13.0
Guaita,Crystal Palace,Goalkeeper,2.2,25.208333333333336,4.8,25.52341320406515,122.51238337951271,7.551182697556181,14.0
Areola,Fulham,Goalkeeper,2.0,26.88888888888889,4.5,25.99577684215836,116.98099578971262,7.534084588170445,15.0
Leno,Arsenal,Goalkeeper,2.2,24.2,5.0,24.075891833393705,120.37945916696853,7.282281947921335,16.0
Sánchez,Brighton,Goalkeeper,4.0,21.521739130434785,4.6,21.79081814982022,100.23776348917299,7.161198552377423,17.0
McCarthy,Southampton,Goalkeeper,1.6,20.454545454545453,4.4,20.921371535144804,92.05403475463714,5.143670821854958,18.0
de Gea,Man Utd,Goalkeeper,0.2,16.60377358490566,5.3,16.82943121443075,89.19598543648296,3.432411167751568,19.0
Darlow,Newcastle,Goalkeeper,0.0,16.3265306122449,4.9,16.516275154175126,80.92974825545812,2.9457306371491576,20.0
Henderson,Man Utd,Goalkeeper,2.6,8.076923076923077,5.2,8.356694522310896,43.45481151601666,1.6355876173714385,21.0
Dubravka,Newcastle,Goalkeeper,2.8,7.083333333333334,4.8,7.43353701977695,35.68097769492936,1.2847821122843184,22.0
Ryan,Arsenal,Goalkeeper,1.6,9.02439024390244,4.1,8.757658887538526,35.90640143890795,0.9017000030950753,23.0
Forster,Southampton,Goalkeeper,2.0,7.5,4.0,6.918344368413285,27.67337747365314,0.5600911482882475,24.0
Arrizabalaga,Chelsea,Goalkeeper,2.2,5.531914893617021,4.7,5.415570824386404,25.4531828746161,0.2337654843003063,25.0
Olsen,Everton,Goalkeeper,0.0,5.555555555555555,4.5,5.564525128965941,25.040363080346733,-1.1628754936048047,26.0
Carson,Man City,Goalkeeper,1.8,1.794871794871795,3.9,1.6841487031277167,6.568179942198095,-1.424775921585296,27.0
Adrián,Liverpool,Goalkeeper,0.0,2.619047619047619,4.2,2.5732567181773667,10.807678216344941,-2.2455005170584528,28.0
Kelleher,Liverpool,Goalkeeper,0.0,2.2222222222222223,4.5,2.11913625804994,9.536113161224732,-2.3674629507613205,29.0
Randolph,West Ham,Goalkeeper,0.0,1.627906976744186,4.3,1.6313845078611904,7.014953383803118,-2.5731541996139775,30.0
Peacock-Farrell,Burnley,Goalkeeper,0.4,0.75,4.0,0.7571462742700418,3.028585097080167,-2.6348474132725617,31.0
Butland,Crystal Palace,Goalkeeper,0.4,0.4444444444444444,4.5,0.4816484029615048,2.1674178133267716,-2.724354485732005,32.0
