web_name,team,position,value,projection,now_cost,total_rank,form
Salah,Liverpool,Midfielder,15.079365079365079,259.51106808126474,12.6,1.0,5.3
Son,Spurs,Midfielder,20.94736842105263,196.29237057225885,9.5,2.0,5.0
Fernandes,Man Utd,Midfielder,18.79310344827586,229.90965000716926,11.6,3.0,3.0
Pereira,West Brom,Midfielder,22.59259259259259,98.60014834834392,5.4,4.0,10.7
Bowen,West Ham,Midfielder,21.166666666666668,118.01007542610998,6.0,5.0,7.7
Rashford,Man Utd,Midfielder,16.526315789473685,172.15335302585447,9.5,6.0,5.7
Harrison,Leeds,Midfielder,23.888888888888886,101.92639282847719,5.4,7.0,6.0
Mount,Chelsea,Midfielder,18.333333333333332,135.15517913455793,7.2,8.0,5.0
Ward-Prowse,Southampton,Midfielder,22.3728813559322,141.83467740015575,5.9,9.0,2.0
De Bruyne,Man City,Midfielder,10.666666666666666,230.65466755744768,12.0,10.0,1.0
Soucek,West Ham,Midfielder,24.339622641509436,121.41684743642885,5.3,11.0,2.3
Mané,Liverpool,Midfielder,11.538461538461538,165.87679098431113,11.7,12.0,5.0
Lingard,West Ham,Midfielder,13.484848484848486,81.99148991057852,6.6,13.0,11.0
Neto,Wolves,Midfielder,22.142857142857146,120.13912349033143,5.6,14.0,2.0
Greenwood,Man Utd,Midfielder,11.549295774647888,87.56635470399696,7.1,15.0,10.7
Gündogan,Man City,Midfielder,24.82758620689655,107.06057640655715,5.8,16.0,0.7
Sigurdsson,Everton,Midfielder,15.588235294117647,105.1735894426574,6.8,17.0,6.3
Foden,Man City,Midfielder,19.666666666666668,106.0819749502387,6.0,18.0,3.7
Tielemans,Leicester,Midfielder,18.4375,125.5569651555407,6.4,19.0,2.3
McGinn,Aston Villa,Midfielder,18.0,97.3113216723959,5.5,20.0,4.7
Mahrez,Man City,Midfielder,16.543209876543212,141.09709407445337,8.1,21.0,1.7
Rodríguez,Everton,Midfielder,12.597402597402597,108.08750145098094,7.7,22.0,6.7
Raphinha,Leeds,Midfielder,20.90909090909091,93.14640554639554,5.5,23.0,2.7
Sterling,Man City,Midfielder,12.321428571428573,157.38787332063268,11.2,24.0,2.0
Trossard,Brighton,Midfielder,19.82456140350877,105.40543898986319,5.7,25.0,2.0
Armstrong,Southampton,Midfielder,17.636363636363637,97.10412597019784,5.5,26.0,3.7
Grealish,Aston Villa,Midfielder,17.2,138.6218292701197,7.5,27.0,0.0
Bernardo Silva,Man City,Midfielder,12.297297297297296,103.68417308115791,7.4,28.0,5.7
Saka,Arsenal,Midfielder,19.80392156862745,96.26511457721499,5.1,29.0,1.7
Ndombele,Spurs,Midfielder,16.271186440677965,95.70161486462719,5.9,30.0,3.8
Maddison,Leicester,Midfielder,17.083333333333332,118.698870872166,7.2,31.0,1.3
Barnes,Leicester,Midfielder,19.090909090909093,118.818870806562,6.6,32.0,0.0
Traoré,Wolves,Midfielder,13.0,80.40689551510032,6.0,33.0,6.7
Lookman,Fulham,Midfielder,20.20408163265306,91.28632070079347,4.9,34.0,1.3
Westwood,Burnley,Midfielder,16.22641509433962,98.46352932743896,5.3,35.0,3.0
Pogba,Man Utd,Midfielder,10.789473684210527,100.12154653792823,7.6,36.0,5.7
Zaha,Crystal Palace,Midfielder,15.91549295774648,104.77629950004187,7.1,37.0,2.0
Fornals,West Ham,Midfielder,16.551724137931036,80.24661168486877,5.8,38.0,3.7
Jorginho,Chelsea,Midfielder,20.851063829787233,66.76363067668214,4.7,39.0,2.3
Rodrigo,Man City,Midfielder,15.09433962264151,93.75918969533222,5.3,40.0,3.3
Neves,Wolves,Midfielder,18.43137254901961,93.6220318151446,5.1,41.0,1.3
Saint-Maximin,Newcastle,Midfielder,13.92156862745098,65.85074460555097,5.1,42.0,6.3
Højbjerg,Spurs,Midfielder,17.551020408163264,89.48120342085944,4.9,43.0,1.8
Traoré,Aston Villa,Midfielder,17.06896551724138,78.28606335672765,5.8,44.0,3.0
Pulisic,Chelsea,Midfielder,8.192771084337348,79.69794375426093,8.3,45.0,8.0
McNeil,Burnley,Midfielder,15.964912280701753,95.42670268991066,5.7,46.0,2.0
Groß,Brighton,Midfielder,15.689655172413794,92.9768362383018,5.8,47.0,2.3
Dendoncker,Wolves,Midfielder,15.000000000000002,65.44337467959603,4.6,48.0,5.0
Wijnaldum,Liverpool,Midfielder,15.660377358490567,93.39817969101865,5.3,49.0,1.7
Almirón,Newcastle,Midfielder,15.000000000000002,81.91723346039934,5.6,50.0,3.0
Havertz,Chelsea,Midfielder,8.78048780487805,101.23759910936961,8.2,51.0,4.7
Eze,Crystal Palace,Midfielder,15.517241379310345,90.54087934977285,5.8,52.0,1.5
Jota,Liverpool,Midfielder,10.571428571428571,73.96826868787743,7.0,53.0,5.7
McTominay,Man Utd,Midfielder,16.73469387755102,79.50477440224469,4.9,54.0,1.3
Klich,Leeds,Midfielder,16.538461538461537,86.65386268475805,5.2,55.0,0.7
Aubameyang,Arsenal,Midfielder,9.557522123893804,127.63804128708883,11.3,56.0,0.7
Lucas Moura,Spurs,Midfielder,11.791044776119403,82.70764872978732,6.7,57.0,3.2
Bissouma,Brighton,Midfielder,14.999999999999998,64.7278845277537,4.4,58.0,2.7
Ceballos,Arsenal,Midfielder,11.914893617021276,55.359791419435965,4.7,59.0,5.3
Reed,Fulham,Midfielder,14.999999999999998,64.99817477127745,4.4,60.0,2.0
Trézéguet,Aston Villa,Midfielder,10.769230769230768,54.907309834212874,5.2,61.0,5.3
Kouyaté,Crystal Palace,Midfielder,14.583333333333334,71.71903140968838,4.8,62.0,1.5
Rice,West Ham,Midfielder,16.170212765957448,77.21981183609658,4.7,63.0,0.0
Phillips,West Brom,Midfielder,11.568627450980394,57.91091233260976,5.1,64.0,4.0
Podence,Wolves,Midfielder,13.20754716981132,68.90103993940598,5.3,65.0,2.0
Anguissa,Fulham,Midfielder,15.11111111111111,65.99819302413914,4.5,66.0,1.0
Cavaleiro,Fulham,Midfielder,14.150943396226415,64.2936095773723,5.3,67.0,1.7
Walcott,Southampton,Midfielder,11.379310344827587,68.05149022319814,5.8,68.0,3.0
Redmond,Southampton,Midfielder,8.4375,58.92596628222839,6.4,69.0,5.3
Townsend,Crystal Palace,Midfielder,14.0,76.05169718219936,5.5,70.0,0.5
El Ghazi,Aston Villa,Midfielder,14.038461538461538,66.16111990751722,5.2,71.0,1.3
Fred,Man Utd,Midfielder,11.320754716981133,61.560793126107754,5.3,72.0,3.3
Schlupp,Crystal Palace,Midfielder,10.377358490566039,54.82011408793048,5.3,73.0,4.0
Pépé,Arsenal,Midfielder,9.210526315789474,74.15874919356615,7.6,74.0,3.0
Ndidi,Leicester,Midfielder,13.125,61.99780969860199,4.8,75.0,1.7
Fabinho,Liverpool,Midfielder,10.555555555555555,59.8622896848999,5.4,76.0,3.3
Moutinho,Wolves,Midfielder,12.745098039215687,67.48024628566664,5.1,77.0,1.3
Doucouré,Everton,Midfielder,13.92156862745098,73.67393462931793,5.1,78.0,0.0
Murphy,Newcastle,Midfielder,10.612244897959183,49.770495538917814,4.9,79.0,4.0
Bale,Spurs,Midfielder,7.582417582417583,83.78521249234979,9.1,80.0,2.8
Shelvey,Newcastle,Midfielder,10.943396226415095,59.93809930170552,5.3,81.0,2.7
Xhaka,Arsenal,Midfielder,11.923076923076923,63.48546529630695,5.2,82.0,1.7
March,Brighton,Midfielder,14.081632653061224,66.9207757573461,4.9,83.0,0.0
Douglas Luiz,Aston Villa,Midfielder,12.708333333333334,59.88409132200272,4.8,84.0,1.3
Loftus-Cheek,Fulham,Midfielder,10.677966101694915,65.41798788558539,5.9,85.0,2.0
Milivojevic,Crystal Palace,Midfielder,10.178571428571429,67.90865557555175,5.6,86.0,2.0
Riedewald,Crystal Palace,Midfielder,12.954545454545453,54.598738924680475,4.4,87.0,1.5
Lemina,Fulham,Midfielder,11.333333333333334,48.18931499195242,4.5,88.0,3.0
Brownhill,Burnley,Midfielder,11.83673469387755,59.01317145238824,4.9,89.0,1.7
Albrighton,Leicester,Midfielder,10.961538461538462,57.84514487538608,5.2,90.0,2.3
Torres,Man City,Midfielder,8.98550724637681,64.8601503506518,6.9,91.0,2.7
Phillips,Leeds,Midfielder,11.224489795918366,57.37862792134859,4.9,92.0,2.0
Fleck,Sheffield Utd,Midfielder,10.0,63.118730159308605,5.6,93.0,2.0
Costa,Leeds,Midfielder,12.0,56.30107823653507,5.0,94.0,1.3
Lallana,Brighton,Midfielder,8.548387096774194,70.00280015764649,6.2,95.0,2.0
Iwobi,Everton,Midfielder,10.338983050847457,68.33094850380074,5.9,96.0,1.0
Barkley,Aston Villa,Midfielder,11.03448275862069,66.78548413144094,5.8,97.0,0.7
Hudson-Odoi,Chelsea,Midfielder,10.0,58.241296067336926,5.7,98.0,2.0
Osborn,Sheffield Utd,Midfielder,7.872340425531915,37.8358941581418,4.7,99.0,4.7
Gallagher,West Brom,Midfielder,11.272727272727273,64.15026569163187,5.5,100.0,0.3
Willock,Newcastle,Midfielder,8.72340425531915,37.97909267999057,4.7,101.0,4.0
Kanté,Chelsea,Midfielder,11.428571428571427,55.35938614408553,4.9,102.0,0.3
Willian,Arsenal,Midfielder,8.533333333333333,71.93546762949066,7.5,103.0,0.3
Kovacic,Chelsea,Midfielder,9.81132075471698,54.95805389837325,5.3,104.0,1.0
Smith Rowe,Arsenal,Midfielder,11.428571428571429,44.92640746873909,4.2,105.0,0.7
Ziyech,Chelsea,Midfielder,6.962025316455696,63.65140447972026,7.9,106.0,1.7
Henderson,Liverpool,Midfielder,10.37037037037037,59.09001144015888,5.4,107.0,0.0
Hendrick,Newcastle,Midfielder,11.11111111111111,47.89971057624911,4.5,108.0,0.3
Partey,Arsenal,Midfielder,7.551020408163264,40.891571518126874,4.9,109.0,3.0
Oriol Romeu,Southampton,Midfielder,11.333333333333334,48.75127922909453,4.5,110.0,0.0
Gudmundsson,Burnley,Midfielder,8.333333333333332,45.673170389001896,5.4,111.0,2.0
Norwood,Sheffield Utd,Midfielder,9.11111111111111,40.31913919873112,4.5,112.0,2.0
Lundstram,Sheffield Utd,Midfielder,9.387755102040815,49.20953444329024,4.9,113.0,1.0
Burke,Sheffield Utd,Midfielder,10.24390243902439,37.665270206942914,4.1,114.0,1.3
Benrahma,West Ham,Midfielder,8.305084745762711,53.45011975549129,5.9,115.0,1.0
Milner,Liverpool,Midfielder,7.9245283018867925,43.69459798465118,5.3,116.0,2.0
Ritchie,Newcastle,Midfielder,5.5102040816326525,26.735732876611433,4.9,117.0,4.7
Davies,Everton,Midfielder,7.692307692307692,41.76765287751382,5.2,118.0,2.0
Pérez,Leicester,Midfielder,8.0,49.908290236439306,6.0,119.0,1.0
Roberts,Leeds,Midfielder,7.82608695652174,35.11633359220833,4.6,120.0,2.3
Sissoko,Spurs,Midfielder,9.148936170212766,42.83075505489396,4.7,121.0,0.5
Sean Longstaff,Newcastle,Midfielder,6.739130434782609,30.5358932556615,4.6,122.0,3.0
Mac Allister,Brighton,Midfielder,7.9245283018867925,40.88245535622339,5.3,123.0,1.3
Jones,Liverpool,Midfielder,9.772727272727272,40.53288066764564,4.4,124.0,0.0
Djenepo,Southampton,Midfielder,7.962962962962963,44.488093667874864,5.4,125.0,0.7
McArthur,Crystal Palace,Midfielder,8.653846153846153,47.45767929038171,5.2,126.0,0.0
Brady,Burnley,Midfielder,8.8,42.732124697305935,5.0,127.0,0.0
Mendy,Leicester,Midfielder,9.047619047619047,35.0790657118638,4.2,128.0,0.3
Thiago,Liverpool,Midfielder,6.0,35.847363595356995,5.5,129.0,2.0
Elneny,Arsenal,Midfielder,7.857142857142857,31.17452239762136,4.2,130.0,1.3
Hayden,Newcastle,Midfielder,8.695652173913045,40.203247179982036,4.6,131.0,0.0
André Gomes,Everton,Midfielder,7.547169811320755,43.548502251986726,5.3,132.0,0.3
Praet,Leicester,Midfielder,7.115384615384615,36.82781181803755,5.2,133.0,0.7
Yokuslu,West Brom,Midfielder,5.333333333333333,22.311530148120532,4.5,134.0,3.0
Martinelli,Arsenal,Midfielder,4.285714285714286,19.9279890075819,4.9,135.0,3.7
Fraser,Newcastle,Midfielder,6.964285714285714,43.316698325149574,5.6,136.0,0.0
Bergwijn,Spurs,Midfielder,5.857142857142857,46.945311696772826,7.0,137.0,0.2
