web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Son,Spurs,Midfielder,8.0,22.783505154639176,9.7,21.975933558747844,213.16655551985406,14.759707602932775,1.0
Salah,Liverpool,Midfielder,6.6,17.34375,12.8,19.637354378464742,251.35813604434873,13.956443622058659,2.0
Fernandes,Man Utd,Midfielder,4.8,21.052631578947366,11.4,22.007038764369256,250.88024191380953,13.862704387649304,3.0
Harrison,Leeds,Midfielder,5.6,27.636363636363637,5.5,25.429174092655177,139.86045750960346,11.73930861431145,4.0
Ward-Prowse,Southampton,Midfielder,5.0,25.76271186440678,5.9,25.79569715390868,152.1946132080612,11.359624502944431,5.0
Pereira,West Brom,Midfielder,5.2,27.037037037037035,5.4,25.444822383028747,137.40204086835524,11.240186995986669,6.0
Rashford,Man Utd,Midfielder,4.6,18.020833333333336,9.6,20.08155071969752,192.7828869090962,10.627204712299466,7.0
Eze,Crystal Palace,Midfielder,7.0,21.551724137931036,5.8,21.60168612961973,125.28977955179442,10.355697120100459,8.0
Mané,Liverpool,Midfielder,5.4,13.162393162393164,11.7,16.365927249119864,191.4813488147024,9.740037183098437,9.0
Gündogan,Man City,Midfielder,1.8,26.78571428571429,5.6,25.12891875795829,140.7219450445664,9.265294027184822,10.0
Bale,Spurs,Midfielder,9.8,10.760869565217392,9.2,12.55385157093923,115.49543445264091,8.725849964253413,11.0
Soucek,West Ham,Midfielder,1.8,26.153846153846153,5.2,24.916122960274812,129.56383939342902,8.653488686960468,12.0
Westwood,Burnley,Midfielder,5.4,20.37735849056604,5.3,21.429485792486417,113.576274700178,8.616033353599653,13.0
Mount,Chelsea,Midfielder,2.8,19.589041095890412,7.3,20.923709867036607,152.74308202936723,8.391244003182058,14.0
Sterling,Man City,Midfielder,2.8,13.545454545454545,11.0,17.473303699895524,192.20634069885077,8.313913820841156,15.0
De Bruyne,Man City,Midfielder,0.0,10.847457627118644,11.8,21.430062983373826,252.87474320381116,8.301564265880511,16.0
Højbjerg,Spurs,Midfielder,5.0,21.224489795918366,4.9,21.41490418185666,104.93303049109764,8.264198292195584,17.0
Greenwood,Man Utd,Midfielder,7.4,14.444444444444445,7.2,15.073565091338917,108.5296686576402,8.009343371161378,18.0
Tielemans,Leicester,Midfielder,2.8,20.15625,6.4,21.082967556187295,134.9309923595987,7.841222234564049,19.0
Zaha,Crystal Palace,Midfielder,3.8,18.333333333333332,7.2,17.900621968492903,128.8844781731489,7.70829134511564,20.0
Bowen,West Ham,Midfielder,1.8,22.71186440677966,5.9,21.330951087496672,125.85261141623037,7.575076895831472,21.0
Groß,Brighton,Midfielder,4.2,18.79310344827586,5.8,19.713556606074906,114.33862831523446,7.497963646607031,22.0
Raphinha,Leeds,Midfielder,2.0,22.727272727272727,5.5,21.565092243865124,118.60800734125817,7.412968265085068,23.0
McNeil,Burnley,Midfielder,4.0,19.12280701754386,5.7,19.636696304826174,111.92916893750919,7.372166047237742,24.0
McGinn,Aston Villa,Midfielder,3.3,20.363636363636363,5.5,20.634223003074403,113.48822651690922,7.3500816189823315,25.0
Torres,Man City,Midfielder,7.8,13.285714285714286,7.0,13.107881693623149,91.75517185536205,7.272821383158297,26.0
Armstrong,Southampton,Midfielder,3.2,20.181818181818183,5.5,20.15277173830177,110.84024456065973,7.136323368199258,27.0
El Ghazi,Aston Villa,Midfielder,4.7,19.23076923076923,5.2,17.116139468958792,89.00392523858572,6.915433123498939,28.0
Trossard,Brighton,Midfielder,2.0,21.78571428571429,5.6,20.07827312253822,112.43832948621403,6.914365968089042,29.0
Saka,Arsenal,Midfielder,2.4,21.764705882352942,5.1,20.71210273837226,105.63172396569851,6.879581293444305,30.0
Aubameyang,Arsenal,Midfielder,3.6,11.150442477876105,11.3,14.03099537086426,158.55024769076613,6.815644496430438,31.0
Traoré,Aston Villa,Midfielder,3.3,20.17241379310345,5.8,17.26780250917408,100.15325455320965,6.771582286864625,32.0
Maddison,Leicester,Midfielder,2.0,17.808219178082194,7.3,17.959245519751672,131.10249229418721,6.574806964534359,33.0
Rodrigo,Man City,Midfielder,4.2,16.79245283018868,5.3,19.64561268011263,104.12174720459694,6.55277787709673,34.0
Foden,Man City,Midfielder,2.5,19.508196721311478,6.1,18.05928926989468,110.16166454635754,6.507569360050129,35.0
Mahrez,Man City,Midfielder,0.5,16.543209876543212,8.1,19.707202457257008,159.62833990378175,6.459998998030795,36.0
Grealish,Aston Villa,Midfielder,0.3,17.466666666666665,7.5,20.719939622064175,155.3995471654813,6.42307948417218,37.0
Neto,Wolves,Midfielder,0.0,22.545454545454547,5.5,21.81105846130115,119.96082153715633,6.218364275834044,38.0
Lookman,Fulham,Midfielder,2.0,21.666666666666668,4.8,19.780574433399714,94.94675728031862,6.19122026992018,39.0
Sigurdsson,Everton,Midfielder,2.2,16.956521739130434,6.9,17.483513024215622,120.6362398670878,6.050699115715076,40.0
Klich,Leeds,Midfielder,2.8,19.038461538461537,5.2,18.568504855146376,96.55622524676116,6.022809938210305,41.0
Fornals,West Ham,Midfielder,2.0,17.931034482758623,5.8,18.997189703396806,110.18370027970147,5.781763596511494,42.0
Neves,Wolves,Midfielder,1.4,19.80392156862745,5.1,20.219033831153325,103.11707253888196,5.650017167310473,43.0
Traoré,Wolves,Midfielder,3.8,15.166666666666666,6.0,15.693338131512874,94.16002878907724,5.479391272603248,44.0
Jorginho,Chelsea,Midfielder,1.6,22.127659574468083,4.7,15.778625615161058,74.15954039125698,5.255162441045502,45.0
Havertz,Chelsea,Midfielder,4.2,10.843373493975903,8.3,13.278205197236847,110.20910313706584,5.182684951772135,46.0
Smith Rowe,Arsenal,Midfielder,4.6,16.428571428571427,4.2,14.95446374787872,62.80874774109063,5.062167857554154,47.0
Wijnaldum,Liverpool,Midfielder,2.0,17.169811320754718,5.3,17.518126222606856,92.84606897981634,4.890847863413622,48.0
Bernardo Silva,Man City,Midfielder,3.2,12.567567567567567,7.4,13.641230184662206,100.94510336650033,4.684124345974086,49.0
Barnes,Leicester,Midfielder,0.0,19.090909090909093,6.6,15.57159909527612,102.77255402882238,4.604208272808836,50.0
McTominay,Man Utd,Midfielder,1.6,17.959183673469386,4.9,16.96841807380272,83.14524856163334,4.481601962876274,51.0
Almirón,Newcastle,Midfielder,1.8,16.25,5.6,15.578298193120318,87.23846988147378,4.300453279259376,52.0
Ndombele,Spurs,Midfielder,0.8,16.610169491525422,5.9,16.554629016969084,97.6723112001176,4.2106865048373745,53.0
Pogba,Man Utd,Midfielder,2.6,11.842105263157896,7.6,13.069325846954678,99.32687643685554,4.064160766575039,54.0
Willock,Newcastle,Midfielder,4.8,12.76595744680851,4.7,12.2335786154202,57.49781949247494,3.9807198445442356,55.0
Cavaleiro,Fulham,Midfielder,2.2,15.283018867924529,5.3,14.97584296211975,79.37196769923467,3.967707578975796,56.0
Brownhill,Burnley,Midfielder,3.0,14.489795918367346,4.9,14.709540183332763,72.07674689833054,3.944331167965011,57.0
Bissouma,Brighton,Midfielder,2.0,16.59090909090909,4.4,16.409767516252646,72.20297707151165,3.9187246530509725,58.0
Albrighton,Leicester,Midfielder,3.6,14.23076923076923,5.2,12.307493426583255,63.998965818232925,3.9147802180747924,59.0
Dendoncker,Wolves,Midfielder,2.0,16.521739130434785,4.6,15.728374883873384,72.35052446581756,3.9058269813065216,60.0
Rice,West Ham,Midfielder,0.5,16.595744680851062,4.7,20.01171897202388,94.05507916851224,3.8840780563455892,61.0
Townsend,Crystal Palace,Midfielder,1.6,15.454545454545455,5.5,15.453293147713254,84.9931123124229,3.8765332544192463,62.0
Kouyaté,Crystal Palace,Midfielder,1.6,16.25,4.8,16.439648652234848,78.91031353072727,3.851609368825342,63.0
Benrahma,West Ham,Midfielder,4.5,11.35593220338983,5.9,11.414262727644354,67.34415009310169,3.8081030211400106,64.0
Rodríguez,Everton,Midfielder,0.8,13.116883116883116,7.7,14.401103156992479,110.88849430884208,3.7870180438312593,65.0
Lingard,West Ham,Midfielder,1.8,14.545454545454547,6.6,12.87402214082282,84.9685461294306,3.7493342793767646,66.0
Jota,Liverpool,Midfielder,2.8,12.142857142857142,7.0,12.200617193974297,85.40432035782008,3.7155217129829325,67.0
Anguissa,Fulham,Midfielder,1.8,16.59090909090909,4.4,15.914499675042368,70.02379857018643,3.7127653152942632,68.0
Barkley,Aston Villa,Midfielder,2.2,13.10344827586207,5.8,14.802026363870619,85.85175291044959,3.6336025107078775,69.0
Saint-Maximin,Newcastle,Midfielder,2.0,15.490196078431374,5.1,14.218053195629972,72.51207129771285,3.632947240562853,70.0
Pépé,Arsenal,Midfielder,2.8,10.921052631578949,7.6,12.009597205025399,91.27293875819302,3.6165633908904606,71.0
Ndidi,Leicester,Midfielder,2.2,14.791666666666668,4.8,14.709474955202882,70.60547978497384,3.4884117966213157,72.0
Willian,Arsenal,Midfielder,2.8,10.4,7.5,11.99163473266777,89.93726049500827,3.4227439826549864,73.0
Douglas Luiz,Aston Villa,Midfielder,2.0,14.791666666666668,4.8,14.982665406407929,71.91679395075805,3.420326889484648,74.0
Doucouré,Everton,Midfielder,1.0,14.901960784313726,5.1,15.544953901920708,79.2792648997956,3.1415943860410978,75.0
Shelvey,Newcastle,Midfielder,2.5,12.830188679245284,5.3,13.151844381682075,69.70477522291499,3.1016425013968396,76.0
Ceballos,Arsenal,Midfielder,2.8,13.191489361702127,4.7,12.816888623800462,60.23937653186218,3.005393889597871,77.0
Podence,Wolves,Midfielder,1.4,14.150943396226415,5.3,13.946564531915364,73.91679201915143,2.966223841531442,78.0
Walcott,Southampton,Midfielder,2.0,12.758620689655173,5.8,12.81201317595237,74.30967642052374,2.9644565551880855,79.0
Ziyech,Chelsea,Midfielder,3.4,8.734177215189874,7.9,10.160302720150385,80.26639148918805,2.949416182450199,80.0
Fleck,Sheffield Utd,Midfielder,2.4,11.785714285714286,5.6,12.716670259654022,71.21335345406251,2.8185287950574365,81.0
Fabinho,Liverpool,Midfielder,2.0,12.037037037037036,5.4,13.657992577366443,73.7531599177788,2.7471259794246388,82.0
Moutinho,Wolves,Midfielder,1.4,13.529411764705884,5.1,14.216910331347856,72.50624268987406,2.7422452054410447,83.0
Fred,Man Utd,Midfielder,1.6,12.641509433962264,5.3,13.586138089918032,72.00653187656557,2.602014224375407,84.0
Reed,Fulham,Midfielder,0.8,15.454545454545453,4.4,14.662535424244082,64.51515586667396,2.5881269271728122,85.0
Pulisic,Chelsea,Midfielder,2.0,9.036144578313252,8.3,10.869920527231544,90.22034037602182,2.5851734849566332,86.0
Elneny,Arsenal,Midfielder,3.6,11.666666666666666,4.2,11.190593914068332,47.000494439087,2.5491831582744537,87.0
Lucas Moura,Spurs,Midfielder,1.2,12.153846153846153,6.5,11.909529419620474,77.41194122753308,2.44374332236523,88.0
Phillips,West Brom,Midfielder,1.6,12.745098039215687,5.1,12.434336458960619,63.41511594069915,2.29069702635374,89.0
Murphy,Newcastle,Midfielder,2.0,12.244897959183673,4.9,12.001618598613192,58.80793113320464,2.2130619816770687,90.0
Gallagher,West Brom,Midfielder,1.2,12.363636363636363,5.5,12.739498487755174,70.06724168265346,2.21042246441112,91.0
Xhaka,Arsenal,Midfielder,1.2,12.692307692307692,5.2,12.93069481619829,67.2396130442311,2.1877095386424092,92.0
Phillips,Leeds,Midfielder,1.6,12.448979591836734,4.9,12.679829984429546,62.131166923704775,2.1598154332463175,93.0
Redmond,Southampton,Midfielder,2.2,10.0,6.4,10.729239316464028,68.66713162536978,2.114640073650871,94.0
Riedewald,Crystal Palace,Midfielder,1.0,14.09090909090909,4.4,13.188069887399367,58.02750750455722,2.0825810528354753,95.0
Thiago,Liverpool,Midfielder,3.6,8.909090909090908,5.5,9.785862743188941,53.82224508753918,2.0721073206136444,96.0
Schlupp,Crystal Palace,Midfielder,1.6,11.88679245283019,5.3,11.704639097322543,62.03458721580947,2.0038044135577118,97.0
March,Brighton,Midfielder,0.0,14.081632653061224,4.9,14.170728251960721,69.43656843460754,1.9313185040339391,98.0
Lemina,Fulham,Midfielder,2.0,12.0,4.5,11.466373867192006,51.59868240236403,1.861997585595925,99.0
Kanté,Chelsea,Midfielder,1.0,12.448979591836734,4.9,12.550475153870575,61.497328253965826,1.7751333946429417,100.0
Milivojevic,Crystal Palace,Midfielder,1.2,11.25,5.6,11.866509791437647,66.45245483205082,1.766153154341066,101.0
Pérez,Leicester,Midfielder,1.8,9.333333333333334,6.0,11.196829786144187,67.18097871686513,1.6356924632629248,102.0
Norwood,Sheffield Utd,Midfielder,2.2,11.11111111111111,4.5,10.834135540796781,48.753609933585516,1.6288577566565017,103.0
Costa,Leeds,Midfielder,1.0,12.6,5.0,11.301530690317733,56.507653451588666,1.6189257475642345,104.0
Iwobi,Everton,Midfielder,0.6,10.847457627118644,5.9,11.458840203517813,67.6071572007551,1.3431416133510043,105.0
Loftus-Cheek,Fulham,Midfielder,0.5,10.847457627118644,5.9,11.495764555341527,67.82501087651501,1.2918059289300037,106.0
Jones,Liverpool,Midfielder,1.4,11.363636363636363,4.4,10.890354246767632,47.917558685777585,1.184670522020211,107.0
Osborn,Sheffield Utd,Midfielder,2.2,9.787234042553191,4.7,9.785366701826897,45.991223498586415,1.1613415855343905,108.0
Ritchie,Newcastle,Midfielder,3.2,8.16326530612245,4.9,8.10820835067024,39.73022091828418,1.0737978801337567,109.0
Lallana,Brighton,Midfielder,0.8,9.032258064516128,6.2,11.291313303846897,70.00614248385077,1.0663698446158096,110.0
Hudson-Odoi,Chelsea,Midfielder,0.6,10.350877192982455,5.7,10.678257312035377,60.866066678601655,0.9424336159045533,111.0
Burke,Sheffield Utd,Midfielder,1.0,11.219512195121952,4.1,10.438208173477616,42.79665351125822,0.7036136951519671,112.0
Allan,Everton,Midfielder,2.2,8.076923076923077,5.2,8.468183131320398,44.03455228286607,0.6210352106002877,113.0
André Gomes,Everton,Midfielder,1.4,8.867924528301888,5.3,9.377112043231163,49.69869382912516,0.579382597719326,114.0
Henderson,Liverpool,Midfielder,0.0,10.37037037037037,5.4,11.097055466082569,59.92409951684588,0.5508577258983189,115.0
Tella,Southampton,Midfielder,3.2,7.441860465116279,4.3,7.251179276318359,31.18007088816894,0.5407672562664565,116.0
Hendrick,Newcastle,Midfielder,0.2,11.333333333333334,4.5,11.062858749251923,49.78286437163365,0.5308555670771979,117.0
Trézéguet,Aston Villa,Midfielder,0.0,10.769230769230768,5.2,10.68890893513969,55.582326462726385,0.4873377960373344,118.0
Oriol Romeu,Southampton,Midfielder,0.0,11.333333333333334,4.5,11.061329303691114,49.77598186661001,0.41070190267155327,119.0
Roberts,Leeds,Midfielder,1.6,9.130434782608697,4.6,7.955609592538423,36.59580412567674,0.25276753039135713,120.0
Lundstram,Sheffield Utd,Midfielder,0.4,10.0,4.8,10.048344112268762,48.23205173889006,0.22851834255119424,121.0
Kovacic,Chelsea,Midfielder,0.0,9.81132075471698,5.3,10.130059168915087,53.68931359524996,0.15323700794888784,122.0
Partey,Arsenal,Midfielder,1.2,8.571428571428571,4.9,8.596157966756309,42.12117403710592,0.07992100716819978,123.0
Minamino,Southampton,Midfielder,1.0,7.666666666666667,6.0,7.971325054490393,47.82795032694236,-0.0594816456822882,124.0
Davies,Everton,Midfielder,0.8,8.461538461538462,5.2,8.574466616308092,44.58722640480208,-0.0921831671349028,125.0
Gudmundsson,Burnley,Midfielder,0.6,8.518518518518517,5.4,8.739421915151953,47.192878341820546,-0.09371601921894968,126.0
Sean Longstaff,Newcastle,Midfielder,1.5,8.043478260869566,4.6,7.933855631327022,36.4957359041043,-0.10538852082426456,127.0
Lo Celso,Spurs,Midfielder,2.5,5.0724637681159415,6.9,5.832806204274838,40.24636280949638,-0.16214713822032112,128.0
Mac Allister,Brighton,Midfielder,1.0,8.30188679245283,5.3,7.6812057025720755,40.710390223632,-0.16865749041162648,129.0
Bergwijn,Spurs,Midfielder,1.2,6.428571428571429,7.0,7.042716228033232,49.299013596232626,-0.2166718017988135,130.0
Sissoko,Spurs,Midfielder,0.2,9.361702127659575,4.7,9.216461443930383,43.3173687864728,-0.258294328485275,131.0
Milner,Liverpool,Midfielder,0.6,8.11320754716981,5.3,8.16366364019243,43.26741729301988,-0.3584980743961546,132.0
McArthur,Crystal Palace,Midfielder,0.0,8.653846153846153,5.2,9.010698582053942,46.8556326266805,-0.4300465438721935,133.0
Mendy,Leicester,Midfielder,0.2,9.285714285714285,4.2,9.066299570076843,38.07845819432274,-0.4858027916284077,134.0
Cork,Burnley,Midfielder,2.2,5.8,5.0,6.0573242072130355,30.286621036065178,-0.5384198921269359,135.0
Yokuslu,West Brom,Midfielder,1.6,6.888888888888889,4.5,6.9409382143165645,31.234221964424542,-0.565849492265085,136.0
Brady,Burnley,Midfielder,0.0,8.8,5.0,8.43840197241835,42.192009862091744,-0.5746926209990326,137.0
Djenepo,Southampton,Midfielder,0.2,8.148148148148147,5.4,8.011639317634348,43.26285231522548,-0.5889828315648123,138.0
Hayden,Newcastle,Midfielder,0.0,8.695652173913045,4.6,8.865000956050089,40.779004397830406,-0.6587555204394371,139.0
Martinelli,Arsenal,Midfielder,2.0,5.918367346938775,4.9,5.541084201787414,27.15131258875833,-0.7501017738402049,140.0
Diangana,West Brom,Midfielder,0.6,7.4,5.0,7.547408036347176,37.73704018173588,-0.770028510350359,141.0
Alli,Spurs,Midfielder,2.8,3.513513513513513,7.4,4.126171193064999,30.533666828680992,-0.7880171246362645,142.0
